序号	物号	名称	英文名称	材料	重量(Kg)	计量单位	标准号	规格	颜色代码	原属产品号	参考件代号	备注	设计类型	制造方式	重要度	物料编码	标准成本	制造备注	每台件数
102	A0042-GS-D01-02-04	D01逆流下管箱汇流管		20#无缝钢管	108.629	件				A0042									4
103	A0042-GS-C02-02-01	C02顺流下管箱汇流管		20#无缝钢管	107.759	件				A0042									16
104	A0042-GS-C04-01-01	C04顺流下管箱汇流管		20#无缝钢管	130.46	件				A0042									4
105	A0042-WG-CPG-02	双金属轧制翅片管			15.9	件				A0038									432
106	F502000100009	垫圈16		65Mn-5+3	0.003	件	0-0001-2356-00						标准件						1920
107	A0042-GS-C01-01-08-00	C01顺流上横梁组件			13.095	件				A0042									96
108	A0042-GS-C01-02-10	C01顺流下管箱下侧板		Q245R	26.435	件				A0042									4
109	A0042-GS-D01-02-09	D01逆流下管箱支撑圆管B φ25x317		20	0.361	件				A0042									24
110	A0042-GS-C01-02-02	C01顺流下管箱外侧板		Q245R	6.427	件				A0042									20
111	A0042-GS-C01-02-03	C01顺流下管箱内侧板		Q245R	1.463	件				A0042									20
112	A0042-GS-C01-01-06-01	C01顺流斜撑A		Q235B	6.787	件				A0042									96
113	A0042-WG-CPG-03	双金属轧制翅片管			16.3	件				A0038									1344
114	A0042-GS-C01-02-01	C01顺流下管箱上侧板		Q245R	26.435	件				A0042									4
115	A0042-GS-C01-01-05-01	C01顺流下横梁		Q235B	28.041	件				A0042									96
116	A0042-GS-C01-01-07-00	C01顺流斜撑组件B			8.51	件				A0042									96
117	KLB-C600-CLJB-10	侧梁筋板			4.09	件				A0021									48
118	F501021400011	镀锌螺母M20		45-5+3Zn	0.062	件	0-0001-2221-00						标准件						128
